City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Launceston,AU,2022-04-16 19:28:48,-41.45,147.1667,58.15,96,100,0.0
166,Coruripe,BR,2022-04-16 19:31:09,-10.1256,-36.1756,82.6,78,12,13.96
167,Vasterhaninge,SE,2022-04-16 19:31:09,59.1167,18.1,44.67,45,100,8.01
168,Batagay-Alyta,RU,2022-04-16 19:31:10,67.8006,130.4114,-10.71,99,96,5.48
169,Superior,US,2022-04-16 19:31:10,46.7208,-92.1041,38.7,51,75,14.97
170,Beira,MZ,2022-04-16 19:31:10,-19.8436,34.8389,82.49,78,40,14.97
171,Mangrol,IN,2022-04-16 19:31:11,21.1167,70.1167,79.99,72,0,9.04
172,Gornyy,RU,2022-04-16 19:31:11,55.1153,83.9059,44.01,65,35,9.06
173,Linxia,CN,2022-04-16 19:31:12,35.6003,103.2064,38.23,94,100,6.33
174,Makakilo City,US,2022-04-16 19:28:41,21.3469,-158.0858,75.52,80,75,12.66
175,Sesheke,ZM,2022-04-16 19:31:12,-17.4759,24.2968,71.47,78,97,4.21
176,Vanimo,PG,2022-04-16 19:31:13,-2.6741,141.3028,77.14,91,79,3.67
177,Beaune,FR,2022-04-16 19:31:13,47.0833,4.75,53.24,70,0,13.11
178,Coronado,US,2022-04-16 19:31:14,32.6859,-117.1831,72.5,67,20,12.66
179,Kavaratti,IN,2022-04-16 19:31:14,10.5669,72.642,83.53,74,29,4.43
180,Baoshan,CN,2022-04-16 19:31:14,46.5586,131.4244,34.09,41,3,6.85
181,Mukono,UG,2022-04-16 19:32:15,0.3533,32.7553,61.57,98,100,1.34
182,Tiksi,RU,2022-04-16 19:32:15,71.6872,128.8694,-12.71,99,76,4.14
183,Lata,PT,2022-04-16 19:32:16,40.1629,-8.3327,54.55,87,20,3.11
184,Suez,EG,2022-04-16 19:29:43,29.9737,32.5263,75.34,16,2,5.79
185,Kalikapur,IN,2022-04-16 19:32:16,22.6167,86.2833,87.22,38,1,6.33
186,Sukumo,JP,2022-04-16 19:32:17,32.9333,132.7333,50.76,66,100,4.07
187,Atherton,GB,2022-04-16 19:32:17,53.5237,-2.4935,63.48,70,100,1.01
188,Diamantina,BR,2022-04-16 19:32:17,-18.2494,-43.6003,67.23,80,26,3.83
189,Muroto,JP,2022-04-16 19:32:18,33.2833,134.15,56.5,51,100,6.17
190,Whitianga,NZ,2022-04-16 19:32:18,-36.8333,175.7,60.55,75,100,9.69
191,Epe,NG,2022-04-16 19:32:19,6.5841,3.9834,80.38,80,58,6.82
192,Poum,NC,2022-04-16 19:32:19,-20.2333,164.0167,77.88,69,3,7.52
193,Isangel,VU,2022-04-16 19:32:20,-19.55,169.2667,80.35,79,9,4.25
194,La Ronge,CA,2022-04-16 19:32:20,55.1001,-105.2842,30.45,34,100,9.22
195,Cidreira,BR,2022-04-16 19:32:20,-30.1811,-50.2056,67.24,68,100,7.65
196,Te Anau,NZ,2022-04-16 19:32:21,-45.4167,167.7167,39.36,93,93,1.23
197,Ambilobe,MG,2022-04-16 19:32:21,-13.2,49.05,73.47,87,10,4.29
198,Wamba,NG,2022-04-16 19:32:22,8.9333,8.6,85.12,51,64,1.52
199,Touros,BR,2022-04-16 19:32:22,-5.1989,-35.4608,82.67,74,76,8.16
200,Bumba,CD,2022-04-16 19:32:23,2.1833,22.4667,72.27,88,48,2.95
201,Acapulco,MX,2022-04-16 19:30:31,16.8634,-99.8901,87.62,55,0,13.8
202,Forest,US,2022-04-16 19:32:22,37.3638,-79.2897,78.85,29,0,18.41
203,Thinadhoo,MV,2022-04-16 19:32:24,0.5333,72.9333,83.34,70,14,8.32
204,Carballo,ES,2022-04-16 19:32:24,43.213,-8.691,56.55,98,75,0.92
205,Ancud,CL,2022-04-16 19:32:24,-41.8697,-73.8203,65.23,67,26,4.34
206,Moose Factory,CA,2022-04-16 19:32:25,51.2585,-80.6094,32.0,80,100,14.97
207,Umm Kaddadah,SD,2022-04-16 19:32:25,13.6017,26.6876,84.61,6,99,10.51
208,Porto Velho,BR,2022-04-16 19:32:26,-8.7619,-63.9039,80.65,78,75,3.44
