City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Itamaraju,BR,-17.0392,-39.5311,69.75,92,99,2.82,overcast clouds
334,Byron Bay,AU,-28.65,153.6167,72.95,72,66,6.51,broken clouds
335,Nekhayevskiy,RU,50.4106,41.7561,51.98,78,100,4.65,overcast clouds
336,Waipawa,NZ,-41.4122,175.5153,59.18,63,74,13.67,broken clouds
337,Monroe,US,43.1501,-77.6831,42.96,46,0,6.91,clear sky
338,Sipe Sipe,BO,-17.45,-66.3833,59.49,71,5,0.27,clear sky
339,Joao Camara,BR,-5.5375,-35.8197,74.25,92,81,5.21,broken clouds
340,Kumo,NG,10.0447,11.2122,83.43,54,99,10.74,overcast clouds
341,Kahului,US,20.8947,-156.47,84.22,65,20,25.32,few clouds
342,Mbanza-Ngungu,CD,-5.25,14.8667,69.66,94,100,1.3,light rain
343,Port Blair,IN,11.6667,92.75,77.04,94,40,1.14,mist
344,Nawabganj,BD,24.5911,88.271,77.85,91,0,7.65,clear sky
345,Susaki,JP,33.3667,133.2833,64.47,58,100,2.1,overcast clouds
346,Teya,RU,60.3778,92.6267,25.84,91,99,8.12,overcast clouds
